"gene_id","sample_1","sample_2","sample_3","sample_4","sample_5","sample_6","sample_7","sample_8","sample_9","sample_10","sample_11","sample_12","sample_13","sample_14","sample_15","sample_16","sample_17","sample_18","sample_19","sample_20","sample_21"
"ENSG00000228327.3",284,93,115,433,135,174,280,141,126,389,84,105,633,153,202,373,51,112,174,106,75
"ENSG00000223181.1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ENSG00000229905.1",0,0,1,1,2,3,0,0,0,3,1,2,0,0,0,0,0,1,1,1,0
"ENSG00000237491.8",160,23,83,74,54,38,53,45,33,70,22,52,131,39,34,113,18,49,48,24,48
"ENSG00000230092.7",30,16,15,16,16,5,20,8,10,23,7,7,33,8,7,18,3,13,11,4,11
"ENSG00000177757.2",36,20,18,12,9,10,10,9,11,16,7,12,33,5,13,19,15,20,32,15,24
"ENSG00000228794.8",755,2355,7450,1067,3002,6716,1201,4578,7339,1140,3081,8090,786,2636,4791,714,3574,3478,1834,2228,1089
"ENSG00000225880.5",155,78,43,67,52,44,67,56,27,67,89,26,279,62,89,147,125,61,201,27,42
"ENSG00000230368.2",1,8,7,0,8,1,2,8,3,2,39,15,2,10,10,1,6,7,2,3,11
"ENSG00000234711.1",1,7,6,4,1,5,1,9,3,5,8,9,0,1,1,1,3,6,2,3,7
"ENSG00000283040.1",0,3,1,0,2,1,2,1,0,0,3,0,0,0,1,0,0,1,0,0,4
"ENSG00000272438.1",5,0,1,6,2,4,2,1,1,1,1,0,24,1,1,1,1,2,21,1,3
"ENSG00000230699.2",20,5,7,12,1,6,4,4,5,7,1,8,149,0,5,4,2,10,98,3,8
"ENSG00000241180.1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ENSG00000223764.2",51,3,6,48,7,11,70,0,8,40,6,4,329,5,9,10,5,5,204,7,24
"ENSG00000187634.11",178,32,36,95,8,35,214,9,37,107,36,47,792,39,29,57,12,58,801,38,87
"ENSG00000188976.10",4715,3455,3277,3440,5922,2545,3359,5529,2353,3213,7243,2726,3111,3576,2436,5381,4122,4340,2887,2687,1028
"ENSG00000187961.13",823,208,365,915,201,249,945,232,219,829,207,275,1407,144,253,819,138,504,825,124,249
"ENSG00000187583.10",134,19,18,82,11,11,127,45,14,59,49,21,410,36,20,182,20,22,135,40,26
"ENSG00000187642.9",37,12179,6362,48,7362,6863,56,12301,10975,28,11495,15831,113,15162,8512,46,18082,4840,39,14404,3901
"ENSG00000272512.1",79,124,269,53,75,331,271,97,221,198,110,216,47,84,475,25,26,303,424,170,425
"ENSG00000188290.10",259,148,839,627,122,514,555,123,320,347,197,399,700,156,395,314,440,1271,2328,351,1987
"ENSG00000187608.8",880,184,419,1132,90,262,1233,157,258,771,161,297,2147,207,537,1130,55,700,1822,183,1072
"ENSG00000231702.2",1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,3
"ENSG00000224969.1",3,1,1,7,3,3,2,1,0,2,3,2,1,1,7,1,0,1,7,3,8
"ENSG00000188157.14",7311,654,2058,7668,207,967,9385,388,1322,7638,510,994,15011,527,2409,5575,176,1644,8327,795,3357
"ENSG00000217801.9",77,9,16,63,5,4,66,8,5,39,6,14,120,3,16,92,4,13,89,6,13
"ENSG00000273443.1",6,1,0,0,0,0,2,2,0,2,1,4,6,1,0,2,1,2,13,2,4
"ENSG00000237330.2",15,3,6,70,2,7,48,0,7,47,2,9,95,3,15,41,135,8,112,2,8
"ENSG00000131591.17",850,210,367,984,244,328,824,215,147,895,174,234,1356,166,344,597,121,410,927,159,391
"ENSG00000223823.1",6,2,6,5,2,1,6,6,7,4,2,8,16,4,5,2,4,3,0,1,14
"ENSG00000207730.3",0,0,1,1,0,0,2,0,0,1,0,0,0,0,0,0,0,0,0,1,1
"ENSG00000207607.3",2,0,0,1,0,0,1,0,0,0,1,0,2,0,0,0,0,0,0,0,0
"ENSG00000198976.1",0,0,0,1,0,0,2,0,0,3,0,0,0,0,1,2,0,0,0,0,1
"ENSG00000272141.1",90,8,7,145,1,3,78,6,1,170,2,2,327,0,1,88,3,1,45,4,7
"ENSG00000205231.1",3,7,6,24,8,6,23,9,7,4,4,12,7,6,1,4,4,5,36,0,24
"ENSG00000162571.13",20,26,8,63,18,25,50,6,9,25,12,12,48,33,15,24,2,13,152,18,29
"ENSG00000186891.13",98,2,11,88,2,5,44,8,8,59,12,5,131,4,10,65,5,8,483,13,24
"ENSG00000186827.10",280,56,96,244,27,56,175,57,48,301,48,45,228,47,147,123,22,116,611,115,339
"ENSG00000078808.16",9254,2821,6571,8397,3613,5359,8015,4118,5349,8067,5849,5937,7480,2244,4695,9782,2227,7861,7869,2416,3864
"ENSG00000176022.4",1200,387,596,1432,444,786,1259,811,384,1566,697,695,791,430,362,1657,399,1684,657,283,350
"ENSG00000184163.3",36,26,56,37,6,15,36,11,13,48,9,14,58,11,25,15,10,16,80,5,75
"ENSG00000260179.1",26,11,33,22,14,25,28,0,21,21,17,19,15,11,14,9,10,13,31,17,23
"ENSG00000160087.20",2198,1580,1587,2698,2148,1407,2798,2059,1158,2416,3306,1713,2748,1376,1171,2756,2547,2511,1907,1163,1040
"ENSG00000230415.1",18,5,21,55,18,35,56,13,18,36,4,7,53,34,63,29,4,51,14,17,22
"ENSG00000162572.20",219,111,237,370,104,296,239,127,191,237,61,162,582,382,550,169,52,255,451,219,360
"ENSG00000131584.18",3837,1891,3645,4315,2963,3972,3953,2976,2416,4266,4287,3362,5950,2955,2872,3475,550,2199,6177,1872,3011
"ENSG00000278073.1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
"ENSG00000169972.11",540,122,287,531,251,306,577,282,230,454,401,293,715,235,242,581,41,242,327,164,190
"ENSG00000127054.20",5562,3449,4547,5416,5329,3402,5193,5535,4084,4873,6905,4091,5576,5967,4660,6389,1964,4015,4873,3968,2670
"ENSG00000283712.1",0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
"ENSG00000240731.1",159,84,138,155,198,120,181,91,86,135,214,89,147,112,88,203,26,95,117,84,36
"ENSG00000224051.6",1248,715,4796,1868,613,5226,1683,1207,6501,1241,1854,8755,1943,1859,5841,1108,695,4135,752,1915,3050
"ENSG00000169962.4",50,58,111,81,42,80,95,57,85,76,147,255,70,58,96,20,72,78,48,45,83
"ENSG00000107404.19",5167,9330,5605,5093,11237,4341,4836,15188,5530,4141,22753,6865,5160,16587,4786,6108,7888,6576,4295,12397,2832
"ENSG00000284372.1",0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
"ENSG00000162576.16",4489,1111,1333,5453,975,1636,3927,633,859,7571,1402,939,9401,693,1544,3077,251,1336,11877,1653,2294
"ENSG00000175756.13",2701,3459,5112,3290,4062,4683,2807,5305,4553,2935,7545,5387,3687,3987,5356,3483,3485,7503,2442,4792,3644
"ENSG00000223663.2",4,2,4,6,2,5,6,8,3,2,0,5,3,1,5,3,1,3,3,0,5
"ENSG00000221978.11",13938,4773,6847,20006,6746,5745,17488,5647,3859,17385,6724,4055,21811,6893,6035,11976,3938,4715,15815,4226,5955
"ENSG00000224870.6",766,163,456,1260,378,520,957,291,314,811,510,474,941,215,580,1056,238,674,380,159,259
"ENSG00000242485.5",2662,2199,2997,2743,2616,2543,2474,4120,2449,2764,3997,2515,2950,2678,3162,2968,1446,3326,1875,2317,1094
"ENSG00000272455.1",60,53,118,109,77,64,87,87,47,180,81,65,214,129,103,74,72,45,111,52,15
"ENSG00000235098.8",703,42,44,802,45,101,804,51,41,701,42,84,2325,52,76,457,19,73,259,63,103
"ENSG00000225905.1",3,0,2,9,1,2,9,2,3,7,1,4,7,2,1,4,1,2,3,1,2
"ENSG00000205116.3",3,0,2,3,4,2,2,1,2,0,2,4,4,2,3,1,3,2,3,3,4
"ENSG00000225285.1",40,2,17,45,1,8,33,4,7,20,6,10,110,0,11,64,1,43,21,9,7
"ENSG00000179403.11",2642,334,1112,2091,99,938,2284,149,629,2334,380,1301,5886,240,691,2924,182,3291,3302,861,1742
"ENSG00000215915.9",670,14,55,403,7,21,464,6,5,368,6,42,798,3,16,991,6,47,84,14,39
"ENSG00000160072.19",1488,361,469,1433,611,729,1394,535,392,1413,691,625,1824,434,490,1800,499,780,2037,457,572
"ENSG00000197785.13",1532,890,1109,972,1098,1024,1018,1418,945,1123,2479,1344,1588,1015,840,1872,1196,1831,1407,703,619
"ENSG00000205090.8",59,32,123,157,45,90,83,48,84,64,75,85,62,35,148,25,35,45,139,49,93
"ENSG00000160075.11",7478,5333,4888,8800,7571,4872,7601,10051,4149,7170,11501,4912,7319,7440,4251,7095,4552,5989,5063,5378,2219
"ENSG00000215014.4",31,26,22,62,21,20,56,15,14,34,19,11,63,15,28,23,15,16,10,10,9
"ENSG00000274481.1",0,0,0,0,0,0,0,0,2,2,0,1,0,0,0,0,0,1,2,1,1
"ENSG00000228594.3",579,13,174,325,6,49,362,14,29,399,9,152,559,4,320,234,13,157,122,11,127
"ENSG00000272106.1",489,709,450,635,928,489,507,544,410,507,1119,456,620,747,730,381,227,281,306,970,133
"ENSG00000197530.12",3351,3834,4119,3450,5310,3305,3573,4634,3132,4351,14038,4771,4362,8408,4723,2930,2073,2047,5721,5559,3166
"ENSG00000189409.13",80,3,95,72,2,119,125,4,65,164,4,69,217,3,54,77,0,15,363,2,79
"ENSG00000248333.8",2345,1915,2072,3030,4421,1603,2881,4453,1557,2495,6315,1689,2888,4432,1850,3251,1622,2199,5644,2057,944
"ENSG00000272004.1",0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0
"ENSG00000189339.11",2790,1257,1178,4145,2793,1229,4780,2447,1606,3383,2836,998,3433,3143,1246,3251,578,1596,1995,2013,982
"ENSG00000269737.2",91,16,61,72,38,29,302,129,59,108,37,33,148,31,46,73,15,23,63,24,15
"ENSG00000215914.4",30,0,6,39,0,10,24,1,3,30,0,3,20,10,3,5,0,1,25,3,4
"ENSG00000008128.22",1877,781,959,2074,1525,652,1760,1427,598,1820,1610,566,1728,1022,593,1693,343,655,3538,601,485
"ENSG00000227775.3",439,205,232,388,178,119,320,179,144,375,157,119,454,258,152,240,51,112,118,138,85
"ENSG00000215790.6",343,174,185,418,250,128,386,233,149,336,229,102,304,258,138,266,46,123,184,143,56
"ENSG00000008130.15",4978,1171,1748,6985,1513,1310,6501,1519,1134,4513,2350,1132,4738,791,1098,7276,1361,2016,3395,692,1075
"ENSG00000078369.17",22051,3477,8337,21873,3070,7585,23374,3585,6385,17371,5258,7388,14497,2993,5871,24517,3252,12759,20586,3444,6390
"ENSG00000231050.1",14,3,2,7,8,7,15,28,9,14,22,3,14,18,16,14,3,12,7,14,0
"ENSG00000169885.9",8,279,2,32,2529,5,17,168,4,24,177,2,32,217,9,14,196,1,15,2436,5
"ENSG00000178821.12",38,2041,41,64,2704,31,52,1749,57,41,5082,50,43,8890,46,40,2533,26,57,7339,30
"ENSG00000142609.17",0,0,1,26,1,0,19,0,4,9,1,1,12,3,0,24,3,2,280,4,3
"ENSG00000233542.1",2,4,0,0,0,0,7,1,2,0,0,0,3,0,0,0,4,2,4,0,0
"ENSG00000187730.8",34,47,48,56,11,20,111,6,18,115,14,28,22,0,16,32,34,22,265,4,40
"ENSG00000226969.1",0,0,0,2,0,0,11,0,0,4,0,0,10,0,0,1,0,0,0,0,0
"ENSG00000067606.16",5258,26,579,3424,5,364,3639,10,634,2988,11,497,4061,3,590,5695,5,417,1319,9,81
"ENSG00000271806.1",30,0,0,20,0,4,37,0,0,40,0,0,84,0,2,19,0,6,36,0,3
"ENSG00000182873.5",801,34,99,453,46,32,429,16,36,535,27,28,657,36,97,601,23,78,634,25,30
"ENSG00000162585.16",1509,437,906,1850,423,767,1521,564,565,1749,576,586,2183,395,742,1137,223,973,1332,377,780
"ENSG00000234396.3",0,0,1,0,0,0,0,0,0,3,0,0,0,0,0,1,0,2,6,0,0
"ENSG00000157933.9",7423,2789,3885,9089,2752,3068,14187,2250,3091,9247,6196,3246,7031,3004,2973,6893,14257,4668,9330,2902,2991
"ENSG00000116151.13",196,88,83,205,98,72,239,115,77,139,68,45,434,269,143,269,40,82,200,104,58
"ENSG00000272161.1",3,2,2,1,2,2,0,2,0,0,0,6,0,1,4,1,0,1,1,2,2
"ENSG00000269896.2",126,18,62,92,32,28,145,44,40,40,12,10,149,39,87,102,10,35,45,21,40
"ENSG00000272420.1",10,2,11,15,6,14,11,10,14,22,5,5,14,4,11,15,0,2,6,0,9
"ENSG00000157916.19",6161,2287,3029,5785,2648,2644,5391,3165,2304,4806,4509,2664,5962,2425,2081,6434,1702,4022,3195,1910,1409
"ENSG00000157911.9",671,355,542,599,214,472,606,328,464,698,532,354,772,474,643,668,187,720,365,374,153
"ENSG00000149527.17",402,37,38,304,21,13,266,35,10,190,36,18,450,20,25,488,49,5,438,25,53
"ENSG00000224387.1",2,0,1,1,0,0,4,0,0,4,0,0,2,0,0,2,0,0,7,0,1
"ENSG00000229393.1",2,0,2,3,0,0,3,2,0,2,3,0,4,0,0,6,0,0,1,0,0
"ENSG00000157881.13",1505,1439,2028,1622,1705,1673,1801,2097,2411,1258,2996,2092,1523,2165,2130,1619,2073,3343,1520,1966,616
"ENSG00000197921.5",2,0,46,1,2,25,9,0,23,4,2,29,36,14,53,1,1,16,4,5,681
"ENSG00000272449.1",70,8,31,230,8,17,168,12,20,123,10,18,127,3,26,65,4,12,91,5,49
"ENSG00000238164.6",922,38,143,804,48,106,603,64,83,440,40,81,1261,74,190,893,29,177,527,45,207
"ENSG00000157873.17",6705,461,980,7708,324,659,6509,385,529,5512,393,513,9266,433,1155,6834,158,910,5005,446,1591
"ENSG00000225931.3",12,2,8,19,0,0,5,2,3,5,0,5,16,0,6,17,0,5,24,2,2
"ENSG00000228037.1",11,7,10,17,10,3,4,10,7,14,7,5,8,5,8,11,2,8,14,0,5
"ENSG00000157870.14",1632,74,510,1785,44,334,1580,58,225,1920,146,378,1632,66,336,1544,67,628,934,91,408
"ENSG00000142606.15",74,5,4,234,1,6,160,2,6,131,0,4,74,4,4,41,0,4,134,6,8
"ENSG00000237058.1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ENSG00000215912.12",167,9,14,193,2,19,148,10,8,235,7,14,234,3,120,189,2,16,49,6,6
"ENSG00000283259.1",0,0,0,0,0,0,0,0,0,0,0,0,3,1,0,0,0,0,18,0,0
"ENSG00000233234.1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ENSG00000231630.1",0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ENSG00000169717.6",0,0,0,0,1,0,0,0,0,0,0,0,2,14,1,6,3,0,0,0,0
"ENSG00000177133.10",97,14,1523,432,20,1271,451,40,635,207,68,1180,903,22,1740,107,4,530,239,34,325
"ENSG00000142611.16",1241,67,2270,912,26,1371,1077,54,1107,770,234,830,1481,65,1492,1345,30,1117,464,107,518
"ENSG00000283572.1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
"ENSG00000226286.1",6,0,2,1,0,1,5,0,1,0,2,2,15,0,2,3,0,3,0,0,10
"ENSG00000279839.1",0,0,1,0,0,11,0,0,0,2,4,2,4,0,4,0,0,2,0,2,5
"ENSG00000272235.1",4,0,55,4,0,26,8,0,44,2,4,62,8,0,42,0,8,21,3,0,0
"ENSG00000130762.14",805,27,38,814,33,41,883,79,21,963,152,74,1616,47,55,983,2662,71,284,97,84
"ENSG00000272088.1",7,0,0,3,0,0,5,1,0,12,0,0,19,0,0,8,3,0,4,2,0
"ENSG00000162591.15",6348,332,373,5740,883,399,5674,484,514,9713,436,224,9631,700,884,2818,690,239,6458,607,360
"ENSG00000207776.1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ENSG00000238260.1",17,3,8,20,4,13,8,16,2,9,3,4,27,10,21,28,2,3,11,1,0
"ENSG00000158109.14",3686,2587,3374,4728,2497,2749,4931,3177,2948,3335,3871,2830,2534,2812,3067,3620,1090,2545,1972,2804,1506
"ENSG00000116213.15",1197,472,648,1361,661,404,1287,784,486,1105,977,498,1222,492,614,1153,562,833,544,414,372
"ENSG00000078900.14",37,17,16,13,4,4,39,6,6,19,27,8,100,18,8,28,11,1,44,24,8
"ENSG00000227589.1",4,0,0,1,0,0,6,0,0,0,0,1,4,0,1,3,0,0,0,0,0
"ENSG00000235131.1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ENSG00000227372.11",2301,1395,2037,3062,1286,1730,2575,1282,1583,2068,1385,1237,2311,1535,1655,1962,753,1835,1272,1330,892
"ENSG00000162592.9",0,4,0,0,0,12,0,1,0,0,3,6,0,11,4,2,1,6,0,9,3
"ENSG00000235169.7",101,12,123,119,6,106,95,8,173,79,10,76,188,4,184,71,4,33,29,16,74
"ENSG00000130764.9",3143,4895,4440,3303,6427,3435,3571,5592,3699,2878,10199,3419,2769,6576,3916,3243,4368,4341,1446,5665,1316
"ENSG00000266075.2",4,0,2,4,0,3,4,0,3,10,2,2,7,2,2,2,0,0,0,2,0
"ENSG00000272153.1",54,6,36,55,9,12,65,21,15,44,13,15,79,8,25,57,6,13,25,13,14
"ENSG00000116198.12",2365,1369,1237,2217,1711,1029,2584,1684,1064,2063,2562,1177,1869,1717,1025,2644,1095,1670,1065,867,467
"ENSG00000169598.15",609,146,255,551,148,161,569,155,117,524,165,142,640,135,246,562,123,260,174,69,152
"ENSG00000198912.10",1493,531,447,1619,883,518,1441,805,416,1173,1082,528,1497,747,439,1504,989,894,909,535,394
"ENSG00000236423.5",15,15,22,38,63,20,44,111,22,19,149,31,51,41,40,24,27,46,5,11,2
"ENSG00000233304.6",0,2,0,0,6,0,1,1,0,0,5,0,2,3,0,0,0,0,2,2,0
"ENSG00000226374.2",1,0,0,0,4,0,0,0,0,0,9,0,0,2,0,0,0,0,0,0,0
"ENSG00000229280.1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ENSG00000235054.3",0,0,2,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0
"ENSG00000227169.2",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ENSG00000232596.2",0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0
"ENSG00000196581.10",299,36,55,1630,8,8,885,4,20,186,49,15,76,61,16,1274,8,0,47,48,16
"ENSG00000231510.1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ENSG00000260972.1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,2,0
"ENSG00000283356.1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ENSG00000236948.2",2,1,0,0,0,0,0,0,0,1,0,0,2,0,1,0,0,0,0,0,0
"ENSG00000264341.1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ENSG00000264101.1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ENSG00000131697.17",1241,408,353,1269,247,345,1368,345,213,1335,747,371,1169,163,236,1020,353,364,905,97,309
"ENSG00000069424.14",8579,630,3466,7086,408,2931,6839,511,2034,4225,8111,3221,5830,140,1855,7648,731,1288,2844,230,1949
"ENSG00000116254.17",70,14,13,107,28,16,50,46,20,108,42,25,34,47,14,74,12,32,122,12,49
"ENSG00000116251.9",10756,7889,7010,10859,9218,5237,11678,10230,5173,10103,13752,5111,10739,10730,5581,10582,7823,7923,7969,10186,2412
"ENSG00000226944.1",5,1,7,13,2,6,16,2,15,8,1,5,25,5,61,4,0,4,0,1,9
"ENSG00000158286.12",355,169,4850,402,43,3822,511,228,4215,450,117,2712,626,401,8038,445,156,1031,264,549,1940
"ENSG00000116237.15",4748,3034,5501,3859,3626,5115,4814,13276,4246,4429,9485,3541,3166,3618,3491,5160,4093,7168,1751,2206,1140
"ENSG00000225077.2",2,0,6,0,0,2,0,2,0,2,1,0,5,0,0,0,1,0,0,4,2
"ENSG00000173673.7",0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0
"ENSG00000158292.6",1363,183,463,1101,390,1804,1398,81,442,2385,593,564,1458,53,286,1436,110,234,1454,103,636
"ENSG00000097021.19",1556,150,807,1315,196,603,1301,295,369,831,242,596,1711,127,400,1780,344,931,1114,136,342
"ENSG00000069812.11",139,2,5,48,0,6,290,3,0,34,2,2,117,0,2,251,77,14,32,0,2
"ENSG00000187017.15",35,8,21,31,5,20,29,8,11,13,11,8,78,5,39,48,8,11,114,4,29
"ENSG00000265392.1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
"ENSG00000231868.1",0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0
"ENSG00000215788.9",355,128,613,390,24,236,450,87,287,593,50,230,541,103,570,162,37,354,907,105,843
"ENSG00000171680.21",1427,444,2188,1081,138,1095,1598,384,1560,1306,291,1191,1848,436,2618,324,118,1386,2671,543,1693
"ENSG00000162408.10",1444,885,936,1419,1363,637,1437,1075,672,1462,1778,636,1262,938,711,1377,1166,1249,940,616,333
"ENSG00000253022.1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ENSG00000229519.2",3,1,1,7,3,1,1,2,0,12,2,2,5,0,1,1,0,0,5,0,2
"ENSG00000173662.20",12,8,3,23,4,0,5,10,2,28,19,1,70,16,1,11,9,2,5,12,0
"ENSG00000204859.12",1339,529,568,1592,869,461,1407,668,426,1201,703,312,1638,465,518,1373,249,489,973,392,462
"ENSG00000162413.16",3222,16812,8564,4721,16120,5339,3846,19266,10437,3642,21759,7277,2680,16047,9137,4035,68983,7138,2383,7968,3138
"ENSG00000116273.5",1180,900,660,1305,1051,516,1312,760,512,657,1108,406,1199,863,434,955,447,579,2472,678,577
"ENSG00000041988.15",679,514,529,823,665,394,700,745,415,559,705,417,620,791,473,750,296,700,385,424,388
"ENSG00000007923.15",1937,1035,2816,1651,1479,2532,1592,1956,3248,1468,2444,3120,1512,1611,2543,1882,1618,3863,800,1386,451
"ENSG00000228750.6",0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
"ENSG00000237436.1",4,5,4,4,5,5,2,5,2,5,4,0,2,3,6,1,0,0,3,3,4
"ENSG00000171735.18",1406,972,2077,1510,908,1613,1789,1462,1516,1355,1279,1423,1439,1372,1758,1680,812,1739,2213,1343,1080
"ENSG00000227950.1",0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
"ENSG00000237365.1",0,0,2,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0
